Latitude,Longitude,Name,Area,Type,Farenheit,Celsius
61.267,-151.238,Hot Lake In Bottom of Crater Peak,Tyonek,Hotspring,,
58.24,-155.09,Hot Spring Near Katmai Pass,Mt. Katmai,Hotspring,,
58.27,-154.89,Hot Springs Near Mt Katmai,Mt. Katmai,Hotspring,,
58.92,-153.98,Hot Spring West of Cape Douglas,Afognak,Hotspring,,
55.368,-161.961,Fumarole,Port Moller,Hotspring,,
54.18,-165.41,Hot Springs on Akun Island,Unimak,Hotspring,,
54.23,-165.66,Hot Springs on Akun Island,Unimak,Hotspring,,
54.66,-164.55,Hot Spring on Unimak Island,Unimak,Hotspring,,
65.97,-154.033,Pocahontas Hot Springs,Melozitna,Hotspring,,
65.216,-149.993,Hutlinana Hot Springs,Livengood,Hotspring,109.0,43.0
57.085,-134.839,Baranof Warm Springs,Sitka,Hotspring,124.0,51.0
67.283,-155.067,Reed River Hot Spring,Survey Pass,Hotspring,122.0,50.0
66.15,-157.117,Hot Springs Near South Bm,Shungnak,Hotspring,122.0,50.0
66.233,-157.583,Hot Springs on Hawk River,Shungnak,Hotspring,122.0,50.0
65.81,-151.237,Kilo Hot Spring,Tanana,Hotspring,122.0,50.0
56.717,-132.005,Chief Shakes Hot Springs,Petersburg,Hotspring,122.0,50.0
69.33,-144.044,Okpilak Springs,Mt. Michelson,Hotspring,119.0,49.0
65.367,-161.25,Granite Mountain Hot Springs,Candle,Hotspring,120.0,49.0
57.644,-135.333,Nylen Hot Springs,Sitka,Hotspring,120.0,49.0
65.963,-150.919,Ray River Hot Spring,Tanana,Hotspring,117.0,47.0
64.924,-154.837,Horner Hot Springs,Ruby,Hotspring,117.0,47.0
65.267,-155.28,Hot Springs Near Dulbi River,Melozitna,Hotspring,126.0,52.0
57.807,-136.341,White Sulphur Springs (Hooniah H S,Sitka,Hotspring,111.0,44.0
57.781,-135.217,Tenakee Hot Springs,Sitka,Hotspring,109.0,43.0
52.19,-174.25,Hot Springs on Atka Island,Atka,Hotspring,167.0,75.0
55.334,-133.641,Dalton (Craig) Hot Springs,Craig,Hotspring,109.0,43.0
51.944,-178.547,Fumaroles on Little Sitkin Island,Rat Islands,Hotspring,,
57.771,-135.82,Hot Spring North Arm Peril Strait,Sitka,Hotspring,100.0,38.0
53.848,-166.873,Hot Springs Near Makushin Volcano,Unalaska,Hotspring,94.0,34.0
69.627,-146.027,Red Hill Spring,Mt. Michelson,Hotspring,91.0,33.0
62.081,-145.007,Upper Klawasi Warm Springs,Gulkana,Hotspring,86.0,30.0
62.058,-145.222,Mineral Spring (Lower Klawasi Cone,Gulkana,Hotspring,82.0,28.0
56.68,-131.882,Barnes Lake Hot Springs,Bradfield Cana,Hotspring,79.0,26.0
56.928,-158.12,Surprise Lake Hot Spring,Chignik,Hotspring,73.0,23.0
56.667,-132.28,Twin Lakes Hot Springs,Petersburg,Hotspring,70.0,21.0
66.383,-157.517,Warm Spring Near Purcell Mountain,Shungnak,Hotspring,68.0,20.0
57.348,-135.385,Hot Spring Near Fish Bay,Sitka,Hotspring,117.0,47.0
65.983,-150.56,Hot Springs on Lower Ray River,Tanana,Hotspring,142.0,61.0
55.863,-160.493,Hot Spring Near Port Moller,Port Moller,Hotspring,160.0,71.0
53.253,-168.358,Hot Springs Near Hot Springs Cove,Umnak,Hotspring,158.0,70.0
51.97,-176.61,Hot Springs on Adak Island,Adak,Hotspring,154.0,68.0
65.053,-146.057,Chena Hot Springs,Circle,Hotspring,153.0,67.0
58.37,-137.09,Hot Springs Near Icy Point,Mt. Fairweathe,Hotspring,153.0,67.0
56.836,-135.374,Goddard Hot Springs,Port Alexander,Hotspring,153.0,67.0
66.342,-150.85,Kanuti Hot Springs,Bettles,Hotspring,151.0,66.0
64.85,-162.3,Clear Creek Hot Springs,Solomon,Hotspring,149.0,65.0
53.233,-168.3,Hot Spring on Umnak Island,Umnak,Hotspring,149.0,65.0
61.2,-159.863,Hot Springs Near Ophir Creek,Russian Missio,Hotspring,145.0,63.0
57.865,-156.499,Gas Rocks Hot Spring,Ugashik,Hotspring,127.0,53.0
51.762,-178.77,Fumaroles on Gareloi Island,Gareloi Island,Hotspring,144.0,62.0
66.367,-156.767,Hot Springs Near Division Bm,Shungnak,Hotspring,140.0,60.0
64.7,-162.467,Hot Spring Near Kwiniuk River,Solomon,Hotspring,106.0,41.0
65.274,-148.847,Tolovana Hot Springs,Livengood,Hotspring,140.0,60.0
55.933,-131.559,Bell Island Hot Springs,Ketchikan,Hotspring,165.0,74.0
57.178,-157.015,Hot Spring Near Mother Goose Lake,Ugashik,Hotspring,138.0,59.0
65.483,-144.637,Circle Hot Springs,Circle,Hotspring,135.0,57.0
56.233,-131.267,Bradfield Canal Hot Springs,Bradfield Cana,Hotspring,135.0,57.0
65.006,-150.633,Manley Hot Springs,Tanana,Hotspring,133.0,56.0
65.129,-154.692,Melozi (Melozitna) Springs,Melozitna,Hotspring,131.0,55.0
66.217,-149.547,Dall Hot Springs,Beaver,Hotspring,129.0,54.0
55.217,-162.483,Hot Springs East of Cold Bay,Cold Bay,Hotspring,129.0,54.0
65.217,-162.9,Hot Springs Near Lava Creek,Bendeleben,Hotspring,127.0,53.0
54.944,-163.251,Hot Springs Near Morzhovoi,False Pass,Hotspring,145.0,63.0
36.48,-91.053,Warm Springs,Poplar Bluff,Hotspring,82.0,28.0
34.384,-93.607,Caddo Gap Springs,Little Rock,Hotspring,95.0,35.0
34.321,-93.739,Spring on Redland Mountain,Little Rock,Hotspring,77.0,25.0
34.406,-93.908,Spring on Little Missouri River,Little Rock,Hotspring,74.0,23.0
34.542,-93.024,Big Chalybeate Spring,Little Rock,Hotspring,79.0,26.0
34.513,-93.053,Hot Springs,Little Rock,Hotspring,147.0,64.0
33.008,-109.778,Grapevine Spring,Clifton,Hotspring,91.0,33.0
32.984,-113.324,Agua Caliente Springs,Ajo,Hotspring,102.0,39.0
34.563,-113.497,Kaiser Hot Spring,Prescott,Hotspring,99.0,37.0
34.076,-111.708,Spring (Hot),Holbrook,Hotspring,99.0,37.0
33.17,-110.528,Coolidge Dam Warm Spring,Mesa,Hotspring,99.0,37.0
34.695,-113.572,Cofer Hot Spring,Prescott,Hotspring,97.0,36.0
33.209,-110.818,Pioneer Spring,Mesa,Hotspring,91.0,33.0
33.988,-112.362,Castle Hot Springs,Phoenix,Hotspring,115.0,46.0
32.345,-110.247,Warm Springs,Tucson,Hotspring,91.0,33.0
36.196,-113.081,Lava Warm Springs,Grand Canyon,Hotspring,90.0,32.0
33.068,-109.975,Warm Spring,Clifton,Hotspring,90.0,32.0
31.943,-113.013,Quitobaquito Springs,Lukeville,Hotspring,90.0,32.0
31.695,-110.963,Agua Caliente Spring,Nogales,Hotspring,90.0,32.0
33.075,-109.298,Seep,Clifton,Hotspring,95.0,35.0
34.357,-111.71,Verde Hot Springs,Holbrook,Hotspring,104.0,40.0
32.998,-109.901,Indian Hot Springs,Silver City,Hotspring,118.0,48.0
33.669,-111.165,Roosevelt Dam Springs,Mesa,Hotspring,118.0,48.0
32.336,-110.24,Hookers Hot Springs,Tucson,Hotspring,127.0,53.0
33.4,-109.152,Hannah Hot Spring,Clifton,Hotspring,133.0,56.0
33.08,-109.303,Hot Spring,Clifton,Hotspring,138.0,59.0
32.741,-114.068,Radium Hot Springs,El Centro,Hotspring,140.0,60.0
32.971,-109.35,Gillard Hot Springs,Silver City,Hotspring,180.0,82.0
35.984,-114.742,Hot Spring,Kingman,Hotspring,,
33.78,-110.317,Warm Spring,Mesa,Hotspring,,
36.418,-113.956,Pakoon Springs,Grand Canyon,Hotspring,86.0,30.0
33.493,-112.94,El Dorado Hot Springs,Phoenix South,Hotspring,112.0,44.0
34.896,-114.308,Oatman Warm Springs,Needles,Hotspring,91.0,33.0
33.055,-109.295,Clifton Hot Springs,Clifton,Hotspring,102.0,39.0
34.445,-112.693,Spring,Prescott,Hotspring,72.0,22.0
32.337,-110.708,Mercer Spring,Tucson,Hotspring,77.0,25.0
34.649,-111.744,Soda Spring,Holbrook,Hotspring,75.0,24.0
33.253,-110.703,Spring,Mesa,Hotspring,75.0,24.0
31.362,-109.265,Astin Spring,Douglas,Hotspring,75.0,24.0
35.169,-113.851,Frost Mine Spring,Williams,Hotspring,70.0,21.0
31.673,-109.902,Antelope Spring,Douglas,Hotspring,79.0,26.0
35.213,-113.425,Casa Grande Spring,Williams,Hotspring,72.0,22.0
33.51,-110.403,Cassadore Spring,Mesa,Hotspring,73.0,23.0
34.32,-111.453,Tonto Natural Bridge Spring,Holbrook,Hotspring,72.0,22.0
34.405,-111.602,Spring,Holbrook,Hotspring,72.0,22.0
34.436,-109.402,Salado Springs,Saint Johns,Hotspring,72.0,22.0
31.592,-109.51,Lewis Spring,Douglas,Hotspring,68.0,20.0
33.046,-109.44,Eagle Creek Hot Springs,Clifton,Hotspring,97.0,36.0
36.509,-111.852,Colorado Pool,Marble Canyon,Hotspring,86.0,30.0
33.062,-109.482,Warm Spring,Clifton,Hotspring,73.0,23.0
31.637,-110.703,Monkey Spring,Nogales,Hotspring,82.0,28.0
32.281,-110.73,Agua Caliente,Tucson,Hotspring,86.0,30.0
32.327,-110.228,N-O Spring,Tucson,Hotspring,73.0,23.0
32.983,-110.373,Warm Spring,Tucson,Hotspring,79.0,26.0
33.152,-110.639,Mescal Warm Spring,Mesa,Hotspring,84.0,29.0
33.163,-110.662,Spring,Mesa,Hotspring,82.0,28.0
35.077,-113.267,Trout Creek Spring,Williams,Hotspring,81.0,27.0
33.438,-110.213,Warm Springs,Mesa,Hotspring,86.0,30.0
36.895,-113.913,Springs,Grand Canyon,Hotspring,79.0,26.0
35.96,-114.725,Hot Spring,Kingman,Hotspring,86.0,30.0
34.925,-114.221,Caliche Spring,Needles,Hotspring,79.0,26.0
33.915,-112.332,Mitchell Spring,Phoenix,Hotspring,79.0,26.0
33.831,-110.574,Salt Banks,Mesa,Hotspring,78.0,26.0
34.91,-113.608,Tom Brown Warm Spring,Prescott,Hotspring,82.0,28.0
38.873,-122.689,Seigler Springs,Santa Rosa,Hotspring,126.0,52.0
36.814,-117.763,Palm Spring,Death Valley,Hotspring,120.0,49.0
34.498,-119.341,Stingleys Hot Springs,Los Angeles,Hotspring,123.0,51.0
33.67,-117.325,"Wrenden Hot Sprs, Elsinore Hot Spr",Santa Ana,Hotspring,125.0,52.0
37.253,-118.373,Keough Hot Springs,Mariposa,Hotspring,124.0,51.0
36.229,-118.302,Jordan Hot Springs,Fresno,Hotspring,124.0,51.0
34.502,-119.346,Vickers Hot Springs,Los Angeles,Hotspring,124.0,51.0
36.123,-121.64,Slates Hot Springs,Santa Cruz,Hotspring,122.0,50.0
35.881,-118.67,California Hot Springs,Bakersfield,Hotspring,122.0,50.0
38.788,-122.777,Sulphur Creek,Santa Rosa,Hotspring,120.0,49.0
37.648,-118.806,Hot Springs,Mariposa,Hotspring,129.0,54.0
36.703,-120.86,Mercey Hot Springs,Santa Cruz,Hotspring,119.0,48.0
33.589,-117.511,San Juan Hot Springs,Santa Ana,Hotspring,120.0,49.0
38.785,-122.655,Harbin Springs,Santa Rosa,Hotspring,120.0,49.0
37.677,-118.79,Dehy Hot Spring,Mariposa,Hotspring,134.0,57.0
39.183,-122.7,Bartlett Springs,Ukiah,Hotspring,144.0,62.0
36.234,-121.546,Tassajara Hot Springs,Santa Cruz,Hotspring,144.0,62.0
36.144,-120.555,Coalinga Mineral Springs,Santa Cruz,Hotspring,112.0,44.0
39.033,-122.445,Jones Fountain of Life Spring,Ukiah,Hotspring,142.0,61.0
35.575,-118.534,"Miracle Hot Sprs, Hobo Hot Sprs",Bakersfield,Hotspring,119.0,48.0
33.284,-116.631,Warner Hot Spring,Santa Ana,Hotspring,138.0,59.0
38.237,-119.326,Buckeye Hot Spring,Walker Lake,Hotspring,140.0,60.0
41.266,-120.08,Hot Springs (Menlo Baths),Alturas,Hotspring,135.0,57.0
33.753,-117.495,Glen Ivy Hot Springs,Santa Ana,Hotspring,131.0,55.0
37.802,-118.532,Benton Hot Springs,Mariposa,Hotspring,134.0,57.0
38.691,-123.024,Skaggs Springs,Santa Rosa,Hotspring,135.0,56.0
35.62,-118.473,Scovern Hot Springs,Bakersfield,Hotspring,133.0,56.0
34.538,-119.56,Agua Caliente Spring,Los Angeles,Hotspring,133.0,56.0
33.558,-117.154,Murrietta Hot Springs,Santa Ana,Hotspring,132.0,56.0
39.226,-120.01,Brockway Hot Springs,Chico,Hotspring,131.0,55.0
41.036,-121.926,Hunt Hot Spring,Alturas,Hotspring,136.0,58.0
34.582,-119.044,Willett Hot Springs,Los Angeles,Hotspring,108.0,42.0
37.234,-118.881,Blaney Meadows Hot Springs,Mariposa,Hotspring,109.0,43.0
36.477,-118.404,Kern Hot Spring,Fresno,Hotspring,109.0,43.0
36.806,-117.771,Lower Warm Springs,Death Valley,Hotspring,110.0,43.0
34.482,-119.302,Matilija Hot Springs,Los Angeles,Hotspring,109.0,43.0
34.537,-119.879,San Marcos Hot Spring,Los Angeles,Hotspring,110.0,43.0
33.896,-117.057,Eden Hot Springs,Santa Ana,Hotspring,109.0,43.0
39.573,-120.348,Campbell Hot Springs,Chico,Hotspring,111.0,44.0
38.994,-122.742,Horseshoe Spring,Santa Rosa,Hotspring,108.0,42.0
33.969,-116.942,Highland Springs,Santa Ana,Hotspring,112.0,44.0
34.34,-117.173,"Warm Spring, Hot Spring",San Bernardino,Hotspring,108.0,42.0
41.219,-120.066,Squaw Baths,Alturas,Hotspring,106.0,41.0
40.142,-120.935,Indian Valley Hot Springs,Susanville,Hotspring,106.0,41.0
39.292,-122.821,Crabtree Hot Springs,Ukiah,Hotspring,106.0,41.0
37.108,-121.478,Gilroy Hot Springs,San Jose,Hotspring,106.0,41.0
39.227,-123.362,Orrs Springs,Ukiah,Hotspring,104.0,40.0
38.773,-122.705,Anderson Springs,Santa Rosa,Hotspring,108.0,42.0
38.858,-122.671,Howard Springs,Santa Rosa,Hotspring,113.0,45.0
34.461,-119.637,Montecito Hot Springs,Los Angeles,Hotspring,118.0,48.0
33.551,-117.167,Temecula Hot Springs,Santa Ana,Hotspring,116.0,47.0
33.835,-116.988,Gilman Hot Springs,Santa Ana,Hotspring,117.0,47.0
37.618,-119.074,Reds Meadow Hot Springs,Mariposa,Hotspring,115.0,46.0
35.528,-118.665,Democrat Hot Springs,Bakersfield,Hotspring,115.0,46.0
33.731,-118.348,Whites Point Hot Springs,Long Beach,Hotspring,115.0,46.0
37.532,-119.025,Fish Creek Hot Springs,Mariposa,Hotspring,110.0,43.0
39.032,-122.432,"Blank Spring, Manzanita Mine Sprs",Ukiah,Hotspring,112.0,45.0
37.327,-119.018,Mono Hot Springs,Mariposa,Hotspring,109.0,43.0
38.225,-119.217,The Hot Springs,Walker Lake,Hotspring,113.0,45.0
35.727,-118.408,Hot Spring,Bakersfield,Hotspring,113.0,45.0
41.6,-120.088,Leonards Hot Springs,Alturas,Hotspring,144.0,62.0
38.874,-123.518,Point Arena Hot Springs,Santa Rosa,Hotspring,111.0,44.0
41.126,-121.028,Kellog Hot Springs,Alturas,Hotspring,172.0,78.0
35.558,-118.612,Delonegha Hot Springs,Bakersfield,Hotspring,112.0,44.0
35.871,-116.23,Tecopa Hot Springs,Trona,Hotspring,118.0,48.0
41.86,-120.158,Fort Bidwell Hot Spring,Alturas,Hotspring,113.0,45.0
41.534,-120.078,Hot Springs (Surprise Valley),Alturas,Hotspring,208.0,98.0
33.345,-115.588,Mud Volcanoes,Salton Sea,Hotspring,,
41.012,-121.274,Hot Springs,Alturas,Hotspring,,
39.922,-120.024,Zamboni Hot Springs,Chico,Hotspring,,
38.979,-122.659,Fumarole,Santa Rosa,Hotspring,,
37.622,-119.028,Fumaroles,Mariposa,Hotspring,,
40.364,-120.243,Hot Spring,Susanville,Hotspring,204.0,96.0
38.767,-122.748,Little Geysers,Santa Rosa,Hotspring,210.0,99.0
33.328,-115.583,Mud Volcanoes,Salton Sea,Hotspring,,
41.67,-120.206,Lake City Hot Springs,Alturas,Hotspring,207.0,97.0
36.036,-117.802,Devils Kitchen,Death Valley,Hotspring,207.0,97.0
36.045,-117.769,Coso Hot Springs,Death Valley,Hotspring,207.0,97.0
40.382,-121.513,Morgan Hot Spring,Susanville,Hotspring,205.0,96.0
40.421,-121.375,Terminal Geyser,Susanville,Hotspring,205.0,96.0
41.19,-120.383,West Valley Reservoir Hot Spring,Alturas,Hotspring,171.0,77.0
38.802,-122.81,The Geysers,Santa Rosa,Hotspring,214.0,101.0
35.888,-116.258,Springs,Trona,Hotspring,,
34.185,-117.262,"Arrowhead Springs, Waterman Hot Sp",San Bernardino,Hotspring,194.0,90.0
33.823,-116.542,Palm Springs (Agua Caliente Spring,Santa Ana,Hotspring,104.0,40.0
41.196,-120.475,Springs,Alturas,Hotspring,,
41.959,-120.936,Warm Spring,Alturas,Hotspring,,
37.929,-121.965,Springs,San Jose,Hotspring,,
36.83,-117.736,Upper Warm Spring,Death Valley,Hotspring,,
33.343,-115.573,Mud Volcanoes,Salton Sea,Hotspring,,
35.536,-118.651,Spring (Hot),Bakersfield,Hotspring,,
33.332,-115.575,Mud Volcanoes,Salton Sea,Hotspring,,
35.967,-116.931,Warm Spring,Trona,Hotspring,,
33.28,-115.592,Mud Volcanoes,Salton Sea,Hotspring,,
33.288,-115.575,Mud Volcanoes,Salton Sea,Hotspring,,
33.312,-115.577,Mud Volcanoes,Salton Sea,Hotspring,,
33.313,-115.605,Mud Volcanoes,Salton Sea,Hotspring,,
40.393,-121.507,Growler Hot Spring,Susanville,Hotspring,203.0,95.0
35.148,-118.783,Warm Spring,Bakersfield,Hotspring,,
41.973,-122.202,Klamath Hot Spring,Weed,Hotspring,156.0,69.0
41.143,-121.11,Bassett Hot Springs,Alturas,Hotspring,174.0,79.0
38.58,-122.575,Calistoga Hot Springs,Santa Rosa,Hotspring,172.0,78.0
37.656,-118.834,Hot Creek Springs,Mariposa,Hotspring,171.0,77.0
41.229,-121.405,Little Hot Spring,Alturas,Hotspring,169.0,76.0
37.664,-118.802,The Tub,Mariposa,Hotspring,167.0,75.0
40.355,-120.257,Wendel Hot Springs,Susanville,Hotspring,205.0,96.0
38.768,-122.717,Castle Rock Springs,Santa Rosa,Hotspring,163.0,73.0
38.245,-119.205,Travertine Hot Springs,Walker Lake,Hotspring,180.0,82.0
39.002,-122.664,Sulphur Bank,Ukiah,Hotspring,156.0,69.0
39.057,-122.475,Elgin Mine,Ukiah,Hotspring,156.0,69.0
39.039,-122.421,Wilbur Springs,Ukiah,Hotspring,153.0,67.0
40.444,-121.409,Drakesbad,Susanville,Hotspring,151.0,66.0
40.457,-121.545,Mill Creek Springs,Susanville,Hotspring,150.0,66.0
38.048,-119.081,Hot Spring,Walker Lake,Hotspring,151.0,66.0
37.647,-118.859,Casa Diablo Hot Pool,Mariposa,Hotspring,165.0,74.0
41.607,-121.523,Hot Spot,Alturas,Hotspring,191.0,88.0
40.44,-121.434,Devils Kitchen,Susanville,Hotspring,203.0,95.0
40.302,-120.195,Amedee Hot Springs,Susanville,Hotspring,203.0,95.0
36.031,-117.833,Fumarole,Death Valley,Hotspring,203.0,95.0
40.447,-121.536,"Sulphur Works, Tophet Hot Springs",Susanville,Hotspring,199.0,93.0
40.455,-121.501,Bumpass Hell,Susanville,Hotspring,199.0,93.0
37.648,-118.914,Casa Diablo Hot Springs And Geyser,Mariposa,Hotspring,199.0,93.0
37.692,-118.839,Little Hot Creek Spring,Mariposa,Hotspring,180.0,82.0
34.596,-118.998,Sespe Hot Springs,Los Angeles,Hotspring,194.0,90.0
38.348,-119.4,Fales Hot Springs,Walker Lake,Hotspring,180.0,82.0
40.434,-121.399,Boiling Springs Lake,Susanville,Hotspring,190.0,88.0
41.615,-120.102,Seyferth Hot Springs,Alturas,Hotspring,185.0,85.0
41.407,-122.197,"Hot Spring, Fumaroles",Weed,Hotspring,183.0,84.0
37.993,-119.028,Paoha Island Springs,Mariposa,Hotspring,181.0,83.0
41.025,-121.924,Big Bend Hot Springs,Alturas,Hotspring,180.0,82.0
38.699,-119.846,Grovers Hot Springs,Walker Lake,Hotspring,147.0,64.0
37.665,-118.828,Hot Creek Gorge Springs,Mariposa,Hotspring,199.0,93.0
39.43,-122.538,"Sulphur Spring, Salt Spring",Ukiah,Hotspring,75.0,24.0
38.925,-122.77,Hildebrande Spring,Santa Rosa,Hotspring,77.0,25.0
38.203,-119.118,Warm Spring,Walker Lake,Hotspring,77.0,25.0
36.938,-121.565,Sargent Estate Warm Spring,Santa Cruz,Hotspring,77.0,25.0
34.826,-116.677,Newberry Spring,San Bernardino,Hotspring,77.0,25.0
41.919,-122.369,Bogus Soda Springs,Weed,Hotspring,76.0,24.0
39.053,-122.597,Quigley Soda Spring,Ukiah,Hotspring,82.0,28.0
41.252,-120.521,Warm Spring,Alturas,Hotspring,75.0,24.0
38.85,-122.693,Pine Cone Spring,Santa Rosa,Hotspring,78.0,26.0
38.339,-122.259,Napa Vichy Springs,Santa Rosa,Hotspring,76.0,24.0
38.892,-122.533,Baker Soda Spring,Santa Rosa,Hotspring,76.0,24.0
38.897,-122.882,England Springs,Santa Rosa,Hotspring,76.0,24.0
38.916,-122.799,Carlsbad Spring,Santa Rosa,Hotspring,76.0,24.0
38.192,-120.827,Valley Springs,Sacramento,Hotspring,75.0,24.0
38.85,-120.025,Myers Warm Spring,Sacramento,Hotspring,75.0,24.0
37.708,-118.813,Hot Spring,Mariposa,Hotspring,68.0,20.0
36.122,-117.217,Warm Sulphur Springs,Death Valley,Hotspring,80.0,27.0
35.682,-116.422,Saratoga Spring,Trona,Hotspring,82.0,28.0
33.733,-114.907,Mccoy Spring,Salton Sea,Hotspring,82.0,28.0
41.484,-120.764,Spring,Alturas,Hotspring,81.0,27.0
39.657,-123.585,Jackson Valley Mud Springs,Ukiah,Hotspring,80.0,27.0
39.198,-122.505,Pseudo Complexion Spring,Ukiah,Hotspring,81.0,27.0
38.85,-122.667,Bad Creek Spring,Santa Rosa,Hotspring,81.0,27.0
32.97,-116.423,Vallecitos Spring,San Diego,Hotspring,79.0,26.0
36.765,-120.901,Spring,Santa Cruz,Hotspring,81.0,27.0
34.159,-118.499,El Encino Springs,Los Angeles,Hotspring,79.0,26.0
35.879,-116.153,Resting Spring,Trona,Hotspring,80.0,27.0
41.828,-120.917,Pothole Spring,Alturas,Hotspring,78.0,26.0
39.348,-122.668,Fouts Springs,Ukiah,Hotspring,79.0,26.0
38.519,-122.26,"Napa Rock Soda Spring, Phillips So",Santa Rosa,Hotspring,78.0,26.0
38.838,-122.653,Spiers Springs,Santa Rosa,Hotspring,79.0,26.0
35.141,-116.101,Soda Station Springs,Trona,Hotspring,75.0,24.0
37.503,-121.904,Alameda Warm Springs,San Jose,Hotspring,80.0,27.0
39.429,-123.308,Muir Springs,Ukiah,Hotspring,68.0,20.0
37.924,-122.046,Sulphur Spring,San Francisco,Hotspring,75.0,24.0
40.58,-120.265,Tipton Springs,Susanville,Hotspring,70.0,21.0
39.697,-123.478,Pinches Spring,Ukiah,Hotspring,70.0,21.0
38.755,-122.285,Zim Zim Spring,Santa Rosa,Hotspring,70.0,21.0
37.083,-121.042,Spring In Oneill Forebay,San Jose,Hotspring,70.0,21.0
37.632,-121.762,Crohare Spring,San Jose,Hotspring,70.0,21.0
33.625,-115.325,Corn Spring,Salton Sea,Hotspring,72.0,22.0
36.117,-118.776,Ward Spring,Fresno,Hotspring,70.0,21.0
34.423,-119.538,Boron Spring,Los Angeles,Hotspring,72.0,22.0
39.002,-122.498,Grizzly Spring,Ukiah,Hotspring,68.0,20.0
39.088,-122.525,Sulphur Spring,Ukiah,Hotspring,68.0,20.0
38.125,-122.188,Vallejo White Sulphur Springs,Santa Rosa,Hotspring,68.0,20.0
38.31,-122.053,Tolenas Springs,Santa Rosa,Hotspring,68.0,20.0
41.45,-120.834,Kelly Hot Spring,Alturas,Hotspring,198.0,92.0
36.512,-116.821,Nevares Springs,Death Valley,Hotspring,102.0,39.0
37.888,-118.487,Bertrand Ranch Springs,Mariposa,Hotspring,70.0,21.0
