date,sale,price,discount,cost,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,regionName,productLine,productName,region,line,product
1998-01-01,355.0,52.2999999999996,0.0,23.8999999999998,52.2999999999996,115.0,33.3999999999998,67.9000000000004,36.0,38.8799999999999,42.0,59.0,65.2000000000003,56.9000000000002,171.399999999999,147.0,122.0,53.0,120.199999999999,70.5499999999996,80.5,Region1,Line1,Product1,1.0,1.0,1.0
1998-02-01,398.0,52.2999999999996,0.0,23.8999999999998,52.2999999999996,115.0,33.3999999999998,67.9000000000004,36.0,48.6000000000002,42.0,59.0,65.2000000000003,56.9000000000003,171.399999999999,147.0,122.0,53.0,120.199999999999,83.0,80.5,Region1,Line1,Product1,1.0,1.0,1.0
1998-03-01,387.0,52.2999999999996,0.0,23.8999999999998,52.2999999999996,115.0,33.3999999999997,67.9000000000004,36.0,48.6000000000002,42.0,59.0,65.2000000000003,48.3650000000006,154.259999999999,147.0,122.0,53.0,120.199999999999,83.0,80.5,Region1,Line1,Product1,1.0,1.0,1.0
1998-04-01,380.0,52.2999999999996,0.0,23.8999999999998,52.2999999999996,115.0,28.3899999999999,67.9000000000004,36.0,48.6,42.0,59.0,65.2000000000003,56.9000000000003,171.399999999999,147.0,122.0,45.0499999999995,120.199999999999,83.0,80.5,Region1,Line1,Product1,1.0,1.0,1.0
1998-05-01,555.0,44.4550000000005,0.15,23.8999999999997,44.4550000000005,115.0,33.3999999999997,67.9000000000003,36.0,48.6000000000001,42.0,59.0,65.2000000000003,56.9000000000003,171.399999999999,147.0,122.0,53.0,120.199999999999,83.0,80.5,Region1,Line1,Product1,1.0,1.0,1.0
1998-06-01,385.0,52.2999999999996,0.0,23.8999999999998,52.2999999999996,103.5,33.3999999999997,67.9000000000005,36.0,48.6,42.0,59.0,65.2000000000003,56.9000000000004,171.399999999999,147.0,122.0,53.0,120.199999999999,83.0,80.5,Region1,Line1,Product1,1.0,1.0,1.0
1998-07-01,390.0,52.2999999999996,0.0,23.8999999999998,52.2999999999996,115.0,33.3999999999997,67.9000000000005,36.0,48.6000000000002,42.0,59.0,55.4199999999998,56.9000000000003,171.399999999999,147.0,103.699999999999,53.0,120.199999999999,83.0,80.5,Region1,Line1,Product1,1.0,1.0,1.0
1998-08-01,377.0,52.2999999999996,0.0,23.8999999999998,52.2999999999996,115.0,33.3999999999997,61.1100000000003,36.0,48.6000000000002,42.0,53.1,65.2000000000003,56.9000000000002,171.399999999999,147.0,122.0,53.0,120.199999999999,83.0,80.5,Region1,Line1,Product1,1.0,1.0,1.0
1998-09-01,386.0,52.2999999999996,0.0,23.8999999999998,52.2999999999996,115.0,33.3999999999997,67.9000000000004,30.6000000000002,48.6000000000002,42.0,59.0,65.2000000000003,56.9000000000003,171.399999999999,124.949999999998,122.0,53.0,120.199999999999,83.0,68.4249999999996,Region1,Line1,Product1,1.0,1.0,1.0
1998-10-01,367.0,52.2999999999996,0.0,23.8999999999998,52.2999999999996,115.0,33.3999999999998,67.9000000000002,36.0,48.6000000000002,33.5999999999996,59.0,65.2000000000002,56.9000000000002,171.399999999999,147.0,122.0,53.0,120.199999999999,83.0,80.5,Region1,Line1,Product1,1.0,1.0,1.0
