QtySold,Price,Advertised,Holiday,Date,Product
0.0,1.99,0.0,0.0,2002-01-01,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-02,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-03,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-04,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-05,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-06,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-07,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-08,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-09,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-10,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-11,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-12,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-13,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-14,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-15,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-16,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-17,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-18,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-19,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-20,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-21,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-22,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-23,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-24,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-25,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-26,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-27,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-28,Baked potato chips
0.0,1.99,0.0,0.0,2002-01-29,Baked potato chips
0.0,1.99,0.0,1.0,2002-01-30,Baked potato chips
0.0,1.99,0.0,1.0,2002-01-31,Baked potato chips
0.0,1.99,0.0,1.0,2002-02-01,Baked potato chips
0.0,1.99,0.0,1.0,2002-02-02,Baked potato chips
0.0,1.99,0.0,1.0,2002-02-03,Baked potato chips
0.0,1.99,0.0,1.0,2002-02-04,Baked potato chips
0.0,1.99,0.0,1.0,2002-02-05,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-06,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-07,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-08,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-09,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-10,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-11,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-12,Baked potato chips
0.0,1.99,0.0,1.0,2002-02-13,Baked potato chips
0.0,1.99,0.0,1.0,2002-02-14,Baked potato chips
0.0,1.99,0.0,1.0,2002-02-15,Baked potato chips
0.0,1.99,0.0,1.0,2002-02-16,Baked potato chips
0.0,1.99,0.0,1.0,2002-02-17,Baked potato chips
0.0,1.99,0.0,1.0,2002-02-18,Baked potato chips
0.0,1.99,0.0,1.0,2002-02-19,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-20,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-21,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-22,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-23,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-24,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-25,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-26,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-27,Baked potato chips
0.0,1.99,0.0,0.0,2002-02-28,Baked potato chips
0.0,1.99,0.0,0.0,2002-03-01,Baked potato chips
0.0,1.99,0.0,0.0,2002-03-02,Baked potato chips
0.0,1.99,0.0,0.0,2002-03-03,Baked potato chips
0.0,1.99,0.0,0.0,2002-03-04,Baked potato chips
0.0,1.99,0.0,0.0,2002-03-05,Baked potato chips
0.0,1.99,0.0,0.0,2002-03-06,Baked potato chips
0.0,1.99,0.0,0.0,2002-03-07,Baked potato chips
0.0,1.99,0.0,0.0,2002-03-08,Baked potato chips
0.0,1.99,0.0,0.0,2002-03-09,Baked potato chips
0.0,1.99,0.0,0.0,2002-03-10,Baked potato chips
0.0,1.99,0.0,0.0,2002-03-11,Baked potato chips
0.0,1.99,0.0,0.0,2002-03-12,Baked potato chips
