DATE,SNYDJCM,SNYSECM,DSIUSWIL,DFXWCAN,DFXWUK90,DSIUKAS,DSIJPND,DCP07,DCD1M,DTBD3M
1988-01-01,,,,1.29629999771714,186.949999988079,886.5,21217.0399932861,,,
1988-01-04,740.199999809265,142.899999976158,2494.9299993515,,,886.5,21217.0399932861,,6.88999999687075,5.87999999895691
1988-01-05,747.379999160766,144.539999961853,2526.98999977111,,,908.209999084472,21575.2799987793,,6.84999999776482,5.92999999970197
1988-01-06,750.39999961853,144.819999992847,2534.48999977111,1.28919999673962,180.25,908.209999084472,22790.5,,6.86999999731779,5.83999999985098
1988-01-07,757.039999961853,145.889999985694,2553.38999938964,1.28699999675154,179.929999947547,908.489999771118,22792.129989624,,6.87999999895692,5.7799999974668
1988-01-08,711.359999656677,137.029999971389,2408.71999931335,1.28519999980926,180.509999990463,904.429999351501,22872.5599975585,,6.87999999895692,5.86999999731779
1988-01-11,721.919999122619,138.809999942779,2434.36999988555,1.2879999987781,181.239999949932,895.829999923706,22578.129989624,,6.88999999687075,5.68999999761581
1988-01-12,715.199999809265,137.739999949932,2410.63999938964,1.28519999980926,181.469999969005,888.519999504089,22625.0499877929,,6.82999999821186,5.80999999865889
1988-01-13,713.589999198913,137.949999988079,2414.36999988555,1.28679999709129,181.589999973773,884.709999084472,22324.9899902343,,6.79999999701976,5.78999999910593
1988-01-14,708.349999427795,137.969999969005,2415.45999908447,1.28939999639987,181.889999985694,890.219999313354,22603.6499938964,,6.80999999865889,5.87999999895691
1988-01-15,721.809999465942,141.159999966621,2469.71999931335,1.28729999810457,176.479999959468,909.359999656677,,,6.72999999672174,5.87999999895691
1988-01-18,724.429999351501,141.239999949932,2473.1799993515,,,912.599999427795,22910.1999969482,,,
1988-01-19,718.289999961853,140.129999995231,2455.27999973297,1.285499997437,177.089999973773,902.5,22898.1699981689,,6.76999999955296,5.95999999716878
1988-01-20,701.589999198913,136.719999969005,2398.0099992752,1.28229999914765,179.019999980926,896.869999885559,22843.1399993896,,6.79999999701976,5.80999999865889
1988-01-21,700.699999809265,136.969999969005,2401.54999923706,1.2799999974668,178.759999990463,894.14999961853,22710.2599945068,,6.73999999836087,5.81999999657273
1988-01-22,709.459999084472,138.689999997615,2429.86999988555,1.2799999974668,178.089999973773,905.539999961853,22876.5799865722,,6.70999999716878,5.80999999865889
1988-01-25,721.519999504089,141.509999990463,2474.5,1.27799999713897,176.229999959468,901.569999694824,23318.3999938964,,6.68999999761581,5.82999999821186
1988-01-26,714.04999923706,140.259999990463,2454.70999908447,1.27899999916553,176.659999966621,904.389999389648,23498.7599945068,,6.7199999988079,5.81999999657273
1988-01-27,712.939999580383,140.229999959468,2455.8299999237,1.27749999985098,177.599999964237,902.729999542236,23335.9099884033,,6.67999999970197,5.73999999836087
1988-01-28,722.489999771118,142.219999969005,2487.64999961853,1.27649999782443,177.629999995231,911.699999809265,23587.25,,6.60999999940395,5.67999999970197
1988-01-29,731.39999961853,144.129999995231,2517.79999923706,1.27499999850988,175.82999998331,915.839999198913,23622.3199920654,,6.58999999985099,5.63999999687075
1988-02-01,731.39999961853,143.32999998331,2517.79999923706,1.27369999885559,174.939999997615,910.309999465942,23732.3199920654,,6.58999999985099,5.65999999642372
1988-02-02,727.659999847412,143.6099999547,2506.51999950408,1.2752999998629,176.259999990463,909.219999313354,23672.209991455,,6.64999999850988,5.70999999716878
1988-02-03,731.219999313354,141.969999969005,2513.5799999237,1.27329999953508,175.309999942779,906.069999694824,23595.3699951171,,6.57999999821186,5.70999999716878
1988-02-04,720.479999542236,141.889999985694,2485.90999984741,1.26879999786615,175.709999978542,905.879999160766,23709.0999908447,,6.57999999821186,5.64999999850988
1988-02-05,720.339999198913,141.349999964237,2485.71999931335,1.26809999719262,174.57999998331,892.439999580383,23650.7999877929,,6.53999999910593,5.63999999687075
1988-02-08,717.359999656677,140.339999973773,2478.56999969482,1.26569999754428,173.809999942779,870.189999580383,23771.5999908447,,6.54999999701976,5.63999999687075
1988-02-09,712.979999542236,141.629999995231,2463.03999996185,1.26639999821782,173.899999976158,875.909999847412,23662.2699890136,,6.5299999974668,5.59999999776482
