DATE,BPB,BPCR,GC,GCQ,GCD,GCDQ,GD,GDP,GDPQ,GNP,GNPQ,GY,GYD,GYDQ
1980-01-01,-10575.0,-2785.0,1701.5,2464.59999942779,218.699999988079,279.699999809265,69.199999988079,2650.09999942779,3830.79999923706,2687.69999980926,3884.59999942779,2163.39999961853,1893.69999980926,2742.89999961853
1980-04-01,-6253.0,-1197.0,1704.89999961853,2414.19999980926,198.199999988079,246.299999952316,70.7999999523162,2643.89999961853,3732.59999942779,2679.39999961853,3782.29999923706,2136.79999923706,1901.09999942779,2692.0
1980-07-01,-3856.0,3396.0,1762.29999923706,2440.29999923706,211.299999952316,258.39999961853,72.5,2705.29999923706,3733.5,2739.79999923706,3780.5,2189.69999980926,1966.09999942779,2722.5
1980-10-01,-4797.0,1704.0,1823.59999942779,2469.19999980926,221.799999952316,266.599999427795,74.3999999761581,2832.89999961853,3808.5,2861.5,3846.19999980926,2302.89999961853,2050.89999961853,2777.0
1981-01-01,-5663.0,2450.0,1876.0,2475.5,230.799999952316,274.39999961853,76.5,2953.5,3860.5,2985.5,3901.59999942779,2375.69999980926,2106.5,2779.69999980926
1981-04-01,-6818.0,1881.0,1908.89999961853,2476.09999942779,225.5,262.599999427795,77.8999999761581,2993.0,3844.39999961853,3023.5,3882.79999923706,2401.29999923706,2141.59999942779,2778.0
1981-07-01,-7174.0,1735.0,1952.09999942779,2487.39999961853,236.299999952316,271.29999923706,79.699999988079,3079.59999942779,3864.5,3112.39999961853,3904.89999961853,2475.69999980926,2208.5,2814.09999942779
1981-10-01,-8323.0,829.0,1968.0,2468.59999942779,221.399999976158,250.0,81.3999999761581,3096.29999923706,3803.09999942779,3133.69999980926,3848.5,2477.29999923706,2241.19999980926,2811.29999923706
1982-01-01,-7677.0,609.0,2005.39999961853,2484.0,230.899999976158,259.29999923706,82.3999999761581,3092.89999961853,3756.09999942779,3123.69999980926,3793.0,2476.29999923706,2258.5,2797.5
1982-04-01,-5018.0,3605.0,2029.39999961853,2488.89999961853,232.899999976158,258.599999427795,83.3999999761581,3146.19999980926,3771.09999942779,3179.19999980926,3810.29999923706,2524.09999942779,2303.39999961853,2824.79999923706
1982-07-01,-12043.0,-4172.0,2073.09999942779,2502.5,235.199999988079,260.0,84.2999999523162,3164.19999980926,3754.39999961853,3193.79999923706,3789.39999961853,2539.19999980926,2342.59999942779,2827.79999923706
1982-10-01,-11706.0,-5906.0,2128.69999980926,2539.29999923706,246.899999976158,272.29999923706,85.0,3195.09999942779,3759.59999942779,3222.59999942779,3791.69999980926,2550.5,2373.69999980926,2831.39999961853
1983-01-01,-10173.0,-1736.0,2162.89999961853,2556.5,251.199999988079,274.29999923706,86.0,3254.89999961853,3783.5,3283.79999923706,3816.5,2605.5,2405.79999923706,2843.59999942779
1983-04-01,-15069.0,-8562.0,2231.89999961853,2604.0,270.099999427795,294.0,86.699999988079,3367.09999942779,3886.5,3394.0,3916.69999980926,2691.39999961853,2457.29999923706,2867.0
1983-07-01,-20506.0,-13206.0,2288.69999980926,2639.0,281.0,303.29999923706,87.5,3450.89999961853,3944.39999961853,3481.59999942779,3978.79999923706,2751.79999923706,2517.59999942779,2903.0
1983-10-01,-21332.0,-16635.0,2346.79999923706,2678.19999980926,297.699999809265,319.099999427795,88.3999999761581,3547.29999923706,4012.09999942779,3578.39999961853,4046.59999942779,2834.29999923706,2594.29999923706,2960.59999942779
1984-01-01,-26453.0,-21205.0,2392.39999961853,2703.79999923706,307.599999427795,329.599999427795,89.699999988079,3666.89999961853,4089.5,3694.19999980926,4119.09999084472,2972.89999961853,2683.89999961853,3033.19999980926
1984-04-01,-28722.0,-24652.0,2444.5,2741.09999942779,317.89999961853,339.0,90.5999999642372,3754.59999942779,4144.0,3778.29999923706,4169.39999389648,3037.39999961853,2734.19999980926,3065.89999961853
1984-07-01,-28536.0,-25024.0,2477.79999923706,2754.59999942779,318.0,337.599999427795,91.699999988079,3818.19999980926,4166.39999389648,3843.29999923706,4193.0,3088.29999923706,2791.0,3102.69999980926
1984-10-01,-28811.0,-28126.0,2526.39999961853,2784.79999923706,328.199999809265,347.699999809265,92.2999999523162,3869.09999942779,4194.19999694824,3890.19999980926,4216.39999389648,3134.39999961853,2829.09999942779,3118.5
1985-01-01,-25603.0,-25059.0,2589.19999980926,2824.89999961853,342.199999809265,360.099999427795,93.2999999523162,3940.0,4221.79998779296,3955.69999980926,4238.09999084472,3198.0,2862.89999961853,3123.59999942779
1985-04-01,-29739.0,-30513.0,2636.39999961853,2849.69999980926,347.0,364.39999961853,94.0,3997.5,4254.79998779296,4012.89999961853,4270.5,3244.89999961853,2951.89999961853,3190.69999980926
1985-07-01,-31268.0,-32579.0,2704.19999980926,2893.29999923706,368.199999809265,386.39999961853,94.5999999642372,4076.89999961853,4309.0,4089.5,4321.79998779296,3288.69999980926,2949.19999980926,3155.39999961853
1985-10-01,-35538.0,-34186.0,2739.79999923706,2895.29999923706,354.39999961853,369.599999427795,95.5999999642372,4140.5,4333.5,4156.19999694824,4349.5,3341.89999961853,3007.89999961853,3178.69999980926
1986-01-01,-35582.0,-34168.0,2784.79999923706,2922.39999961853,363.79999923706,378.89999961853,96.0,4215.69999694824,4390.5,4231.39999389648,4406.39999389648,3397.39999961853,3075.5,3227.5
1986-04-01,-34042.0,-34992.0,2812.29999923706,2947.89999961853,376.099999427795,390.199999809265,96.5,4232.0,4387.69999694824,4239.09999084472,4394.59999084472,3423.5,3130.5,3281.39999961853
1986-07-01,-37544.0,-37615.0,2882.0,2993.69999980926,411.599999427795,423.099999427795,97.199999988079,4290.19999694824,4412.59999084472,4300.0,4422.29998779296,3444.89999961853,3150.59999942779,3272.59999942779
1986-10-01,-37890.0,-38618.0,2923.09999942779,3012.5,406.79999923706,415.699999809265,98.0,4336.59999084472,4427.09999084472,4340.5,4430.79998779296,3486.0,3169.29999923706,3266.19999980926
1987-01-01,-38636.0,-39119.0,2962.79999923706,3011.5,384.89999961853,389.39999961853,98.7999999523163,4408.29998779296,4460.0,4412.39999389648,4463.89999389648,3572.29999923706,3241.89999961853,3295.19999980926
1987-04-01,-39699.0,-39770.0,3030.09999942779,3046.79999923706,401.39999961853,403.099999427795,99.5,4494.89999389648,4515.29998779296,4497.5,4517.79998779296,3645.89999961853,3224.0,3241.69999980926
1987-07-01,-40990.0,-41422.0,3091.39999961853,3075.79999923706,419.699999809265,417.699999809265,100.299999952316,4573.5,4559.29998779296,4577.69999694824,4563.59999084472,3722.29999923706,3302.39999961853,3285.69999980926
1987-10-01,-40175.0,-39885.0,3124.59999942779,3074.69999980926,408.79999923706,404.699999809265,101.199999988079,4683.0,4625.5,4690.5,4633.0,3828.79999923706,3389.89999961853,3335.79999923706
1988-01-01,-33491.0,-32150.0,3199.09999942779,3128.19999980926,428.79999923706,425.099999427795,102.099999964237,4752.39999389648,4655.29998779296,4764.29998779296,4667.09999084472,3888.79999923706,3456.79999923706,3380.09999942779
1988-04-01,-31102.0,-30201.0,3260.5,3147.79999923706,433.099999427795,426.89999961853,103.199999988079,4857.19999694824,4704.79998779296,4862.69999694824,4710.29998779296,3966.29999923706,3507.59999942779,3386.29999923706
1988-07-01,-30779.0,-30122.0,3326.59999942779,3170.59999942779,433.5,423.79999923706,104.5,4947.29998779296,4734.5,4951.59999084472,4738.69999694824,4027.59999942779,3575.19999980926,3407.5
1988-10-01,-31614.0,-33763.0,3398.19999980926,3202.89999961853,452.89999961853,439.199999809265,105.5,5044.59999084472,4779.69999694824,5054.29998779296,4789.0,4127.59999084472,3653.19999980926,3443.09999942779
1989-01-01,-29418.0,-27579.0,3436.5,3200.89999961853,449.39999961853,433.599999427795,106.899999976158,5139.89999389648,4809.79998779296,5144.29998779296,4813.89999389648,4202.59999084472,3729.5,3473.89999961853
1989-04-01,-28700.0,-27808.0,3490.59999942779,3208.59999942779,457.199999809265,439.89999961853,108.0,5218.5,4832.39999389648,5217.69999694824,4831.59999084472,4230.89999389648,3754.19999980926,3450.89999961853
1989-07-01,-29188.0,-26220.0,3551.69999980926,3241.09999942779,474.5,454.29999923706,108.899999976158,5277.29998779296,4845.59999084472,5279.79998779296,4847.89999389648,4244.69999694824,3799.09999942779,3466.89999961853
