DATE,AIRRPMD,AIRRPMT,CHEMICAL,COAL,DURABLES,HS1FAM,HSTOTAL,NONDUR,PETROL,TOBACCO,VEHICLES
1971-01-01,8.43999481201172,10.5199966430664,3896.0,49780.0,26617.0,,,23314.0,2154.0,425.0,4367.0
1971-02-01,7.19999694824218,8.98999786376953,4346.0,47029.0,29829.0,,,25407.0,2250.0,433.0,5147.0
1971-03-01,8.16999816894531,10.1399993896484,4318.0,56920.0,31336.0,,,25832.0,2165.0,445.0,5418.0
1971-04-01,9.0199966430664,11.1499938964843,4536.0,54336.0,30484.0,,,25773.0,2223.0,440.0,4897.0
1971-05-01,8.39999389648437,10.8399963378906,4454.0,50442.0,31008.0,,,25560.0,2190.0,458.0,5002.0
1971-06-01,9.44999694824218,12.0899963378906,4554.0,49298.0,33212.0,,,26936.0,2288.0,503.0,5329.0
1971-07-01,10.3099975585937,13.6599960327148,4058.0,39537.0,27078.0,,,24778.0,2250.0,474.0,3537.0
1971-08-01,10.7599945068359,14.0599975585937,4342.0,56185.0,28172.0,,,26413.0,2251.0,480.0,3940.0
1971-09-01,8.32999420166015,11.1399993896484,4693.0,54449.0,31012.0,,,27456.0,2281.0,484.0,5226.0
1971-10-01,8.6199951171875,11.099998474121,4389.0,11857.0,30835.0,,,27347.0,2320.0,465.0,5429.0
1971-11-01,8.03999328613281,10.0,4289.0,26327.0,30448.0,,,26917.0,2285.0,470.0,5400.0
1971-12-01,9.66999816894531,11.979995727539,3997.0,56032.0,29343.0,,,25898.0,2279.0,451.0,4446.0
1972-01-01,9.30999755859375,11.7399978637695,4353.0,49680.0,29145.0,,,25818.0,2319.0,459.0,5072.0
1972-02-01,8.18999481201172,10.2699966430664,4609.0,49112.0,32222.0,,,27553.0,2396.0,465.0,5707.0
1972-03-01,9.59999847412109,12.0499954223632,4794.0,54438.0,33644.0,,,28405.0,2397.0,474.0,5760.0
1972-04-01,9.58999633789062,12.2699966430664,4975.0,49814.0,33762.0,,,28005.0,2462.0,461.0,5807.0
1972-05-01,9.14999389648437,12.0299987792968,4859.0,52879.0,33964.0,,,27808.0,2368.0,490.0,5865.0
1972-06-01,10.6799926757812,13.9499969482421,5027.0,50083.0,35405.0,,,29462.0,2505.0,515.0,5909.0
1972-07-01,11.2799987792968,15.099998474121,4382.0,40964.0,29270.0,,,26762.0,2490.0,489.0,3681.0
1972-08-01,11.9299926757812,15.6499938964843,4798.0,52169.0,31833.0,,,29211.0,2553.0,509.0,3895.0
1972-09-01,9.21999359130859,12.4699935913085,5076.0,49374.0,36083.0,,,30589.0,2611.0,502.0,6247.0
1972-10-01,9.5,12.2899932861328,4979.0,51671.0,36393.0,,,30164.0,2528.0,495.0,6629.0
1972-11-01,9.25,11.5199966430664,4845.0,50297.0,35767.0,,,30064.0,2618.0,515.0,6670.0
1972-12-01,10.4199981689453,13.0799942016601,4740.0,44904.0,33830.0,,,29039.0,2685.0,489.0,5520.0
